model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,24.683,0.571,0.743,0.688,0.815,0.797,0.826,3e-05,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
svc,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,7.184,0.002,0.814,0.778,0.876,0.869,0.906,3e-06,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
logreg,k-means,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,7.861,0.009,0.793,0.756,0.864,0.856,0.844,1e-06,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
mlp,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.818,0.037,0.778,0.695,0.811,0.788,0.871,8.7e-05,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
naive_bayes,k-means,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,5.72,0.001,0.628,0.592,0.755,0.729,0.612,1e-06,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
knn,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,9.644,0.001,0.796,0.716,0.827,0.807,0.856,0.000109,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,8.47,0.105,0.824,0.799,0.891,0.886,0.871,2.1e-05,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.76,0.184,0.821,0.808,0.897,0.895,0.889,1e-05,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
svc,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.517,0.002,0.825,0.768,0.866,0.856,0.904,4e-06,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
logreg,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,9.795,0.012,0.795,0.745,0.853,0.842,0.882,1e-06,latent,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
